_id,_key,_rev,claims,description,label,type
WikiItems/Q1,Q1,_gBP4BAC---,"OmegaWiki Defined Meaning,instance of,GND identifier","totality of planets, stars, galaxies, intergalactic space, and all matter and energy",universe,item
WikiItems/Q8,Q8,_gBP4BAK---,"OmegaWiki Defined Meaning,instance of",mental or emotional state of well-being characterized by pleasant emotions,happiness,item
WikiItems/Q23,Q23,_gBP4BAW---,"cause of death,place of birth,signature,father,GND identifier,award received,place of burial,position held,NLA identifier,given name,member of political party,instance of,CANTIC,Oxford Biography Index Number,manner of death","American politician, 1st president of the United States (in office from 1789 to 1797)",George Washington,item
WikiItems/Q24,Q24,_gBP4BAi---,"instance of,given name,employer,place of birth,father,award received,academic degree,present in work",main character of the television series 24,Jack Bauer,item
WikiItems/Q31,Q31,_gBP4BAu---,"instance of,capital,official language,flag,ISO 3166-1 alpha-3,GND identifier,head of state,executive body,main regulatory text,Wikivoyage banner,dmoz,time zone,GeoNames ID",country in Europe,Belgium,item
WikiItems/Q33,Q33,_gBP4BA6---,"capital,official language,instance of,flag,ISO 3166-1 alpha-3,head of state,Wikivoyage banner,GND identifier,population,OmegaWiki Defined Meaning,southernmost point,GeoNames ID",republic in Northern Europe,Finland,item
WikiItems/Q42,Q42,_gBP4BBC---,"participant,given name,instance of,place of birth,place of burial,MusicBrainz artist ID,GND identifier,cause of death,father,NLA identifier,BNE identifier,NTA identifier (Netherlands),CANTIC,Oxford Biography Index Number,employer,dmoz",English writer and humorist,Douglas Adams,item
WikiItems/Q45,Q45,_gBP4BBK---,"capital,official language,head of state,instance of,ISO 3166-1 alpha-3,time zone,flag,Wikivoyage banner,GND identifier,dmoz,GeoNames ID",country in Europe,Portugal,item
WikiItems/Q51,Q51,_gBP4BBS---,"instance of,Wikivoyage banner,GND identifier,GeoNames ID",continent,Antarctica,item
WikiItems/Q55,Q55,_gBP4BBa---,"instance of,capital,population,official language,flag,ISO 3166-1 alpha-3,executive body,is in the administrative territorial entity,Wikivoyage banner,GND identifier,dmoz,time zone,head of state,Human Development Index,OmegaWiki Defined Meaning,category for people who died here,GeoNames ID","largest constituent country of the Kingdom of the Netherlands, mainly located in Europe",Netherlands,item
WikiItems/Q58,Q58,_gBP4BBe---,GND identifier,male reproductive organ,penis,item
WikiItems/Q62,Q62,_gBP4BBm---,"type of administrative territorial entity,is in the administrative territorial entity,flag,instance of,GND identifier,Wikivoyage banner,dmoz,time zone,FIPS 6-4 (US counties),population,category for people who died here","combined city and county in California, USA",San Francisco,item
WikiItems/Q68,Q68,_gBP4BBy---,GND identifier,simple general purpose device for performing arithmetics or logical operations,computer,item
WikiItems/Q75,Q75,_gBP4BB2---,"opposite of,instance of,GND identifier",global system of connected computer networks,Internet,item
WikiItems/Q83,Q83,_gBP4BCC---,"instance of,GND identifier,version,developer","wiki software, used on various websites",MediaWiki,item
WikiItems/Q99,Q99,_gBP4BCO---,"capital,official language,type of administrative territorial entity,flag,time zone,is in the administrative territorial entity,Wikivoyage banner,dmoz,instance of,category for people who died here",state of the United States of America,California,item
WikiItems/Q100,Q100,_gBP4BCW---,"instance of,is in the administrative territorial entity,flag,time zone,Wikivoyage banner,dmoz,category for people who died here","city in Massachusetts, United States of America",Boston,item
WikiItems/Q102,Q102,_gBP4BCi---,instance of,lung inflammation caused by the inhalation of very fine silica dust,pneumonoultramicroscopicsilicovolcanoconiosis,item
WikiItems/Q103,Q103,_gBP4BCm---,instance of,song from the musical Mary Poppins,Supercalifragilisticexpialidocioushehe,item
WikiItems/Q125,Q125,_gBP4BCu---,"Wikivoyage banner,OmegaWiki Defined Meaning,follows,GND identifier",eleventh month in the Julian and Gregorian calendars,November,item
WikiItems/Q129,Q129,_gBP4BC2---,"OmegaWiki Defined Meaning,follows,GND identifier",day of the week,Thursday,item
WikiItems/Q136,Q136,_gBP4BDC---,instance of,piece in the board game of chess,knight,item
WikiItems/Q140,Q140,_gBP4BDK---,"GND identifier,Encyclopedia of Life ID,taxon rank,taxon name,instance of,OmegaWiki Defined Meaning",species of big cat,lion,item
WikiItems/Q144,Q144,_gBP4BDW---,"OmegaWiki Defined Meaning,taxon rank,taxon name,GND identifier,instance of,Encyclopedia of Life ID","subspecies of the Canidæ family, frequently kept as a pet",dog,item
WikiItems/Q147,Q147,_gBP4BDi---,,young of a cat,kitten,item
WikiItems/Q148,Q148,_gBP4BDq---,"central bank,instance of,capital,official language,flag,ISO 3166-1 alpha-3,time zone,executive body,Wikivoyage banner,head of state,dmoz,GND identifier,population,GeoNames ID",sovereign state in East Asia,People's Republic of China,item
WikiItems/Q155,Q155,_gBP4BDy---,"instance of,flag,ISO 3166-1 alpha-3,executive body,time zone,head of state,capital,main regulatory text,follows,GND identifier,Wikivoyage banner,dmoz,official language,population",country in South America,Brazil,item
WikiItems/Q156,Q156,_gBP4BE----,GND identifier,family of organic chemical compounds,alcohol,item
WikiItems/Q163,Q163,_gBP4BEG---,"Wikivoyage banner,instance of,category for people who died here",historic county of Northern England,Yorkshire,item
WikiItems/Q166,Q166,_gBP4BES---,"instance of,GND identifier",sea between Europe and Asia,Black Sea,item
WikiItems/Q177,Q177,_gBP4BEa---,GND identifier,Italian dish made of oven-baked bread with various toppings,pizza,item
WikiItems/Q178,Q178,_gBP4BEm---,,type of noodle and is a staple food of traditional Italian cuisine,pasta,item
WikiItems/Q183,Q183,_gBP4BEu---,"official language,instance of,ISO 3166-1 alpha-3,flag,GND identifier,head of state,capital,Wikivoyage banner,dmoz,time zone",federal republic in central Europe,Germany,item
WikiItems/Q197,Q197,_gBP4BE2---,GND identifier,powered aircraft capable of flight using fixed wings that generate lift,airplane,item
WikiItems/Q202,Q202,_gBP4BF----,"instance of,follows",natural number,4,item
WikiItems/Q207,Q207,_gBP4BFK---,"given name,father,place of birth,GND identifier,MusicBrainz artist ID,position held,instance of,member of political party,BNE identifier,NTA identifier (Netherlands),NLA identifier,CANTIC","American politician, 43rd president of the United States from 2001 to 2009",George W. Bush,item
WikiItems/Q210,Q210,_gBP4BFS---,"instance of,GND identifier",90° angle (π/2 radians): an angle that bisects the angle formed by two halves of a straight line,right angle,item
WikiItems/Q216,Q216,_gBP4BFe---,"instance of,is in the administrative territorial entity,time zone,GND identifier,type of administrative territorial entity,Wikivoyage banner,dmoz,category for people who died here",capital of Lithuania,Vilnius,item
WikiItems/Q217,Q217,_gBP4BFq---,"capital,official language,head of state,instance of,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,GND identifier,GeoNames ID",country in Europe,Moldova,item
WikiItems/Q218,Q218,_gBP4BF2---,"capital,official language,head of state,instance of,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,GND identifier,OmegaWiki Defined Meaning,GeoNames ID",country in Europe,Romania,item
WikiItems/Q220,Q220,_gBP4BG----,"instance of,is in the administrative territorial entity,GND identifier,type of administrative territorial entity,time zone,ISTAT ID,Wikivoyage banner,dmoz,population,category for people who died here",capital city of Italy,Rome,item
WikiItems/Q228,Q228,_gBP4BGK---,"instance of,capital,official language,flag,ISO 3166-1 alpha-3,time zone,head of state,Wikivoyage banner,dmoz,OmegaWiki Defined Meaning,GND identifier,GeoNames ID",country in Europe,Andorra,item
WikiItems/Q233,Q233,_gBP4BGS---,"instance of,head of state,official language,capital,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,time zone,GND identifier,GeoNames ID",country in Europe,Malta,item
WikiItems/Q244,Q244,_gBP4BGe---,"head of state,capital,official language,flag,ISO 3166-1 alpha-3,instance of,Wikivoyage banner,dmoz,GND identifier,GeoNames ID",country in the Caribbean,Barbados,item
WikiItems/Q257,Q257,_gBP4BGm---,instance of,"fractal named after Benoît Mandelbrot, closely related to Julia sets",Mandelbrot set,item
WikiItems/Q277,Q277,_gBP4BGy---,instance of,distillery that produces single malt Scotch whisky on Islay,Kilchoman,item
WikiItems/Q278,Q278,_gBP4BG6---,"is in the administrative territorial entity,instance of",Island Single Malt Scotch whisky,Talisker,item
WikiItems/Q281,Q281,_gBP4BHG---,"instance of,OmegaWiki Defined Meaning,GND identifier",type of distilled alcoholic beverage made from fermented grain mash,whisky,item
WikiItems/Q284,Q284,_gBP4BHO---,instance of,alcoholic beverage; a variety of brandy,Cognac,item
WikiItems/Q286,Q286,_gBP4BHa---,GND identifier,durable and flexible material created by the tanning of animal rawhide and skin,leather,item
WikiItems/Q288,Q288,_gBP4BHi---,"instance of,is in the administrative territorial entity,type of administrative territorial entity,Wikivoyage banner,GND identifier,category for people who died here","commune in Indre-et-Loire, France",Tours,item
WikiItems/Q291,Q291,_gBP4BHu---,GND identifier,explicit portrayal of sexual acts,pornography,item
WikiItems/Q293,Q293,_gBP4BH6---,"taxon rank,taxon name,instance of,Encyclopedia of Life ID",genus of spiders,Eurymorion,item
WikiItems/Q297,Q297,_gBP4BIC---,"place of birth,GND identifier,instance of,given name,CANTIC",Spanish painter who was the leading artist in the court of King Philip IV,Diego Velázquez,item
WikiItems/Q298,Q298,_gBP4BIK---,"instance of,capital,official language,flag,ISO 3166-1 alpha-3,GND identifier,Wikivoyage banner,dmoz,head of state,GeoNames ID",country in South America,Chile,item
WikiItems/Q317,Q317,_gBP4BIS---,GND identifier,form of autocratic government led by a single individual,dictatorship,item
WikiItems/Q323,Q323,_gBP4BIe---,"instance of,point in time,opposite of","theoretical past period when the Universe was much hotter, denser and rapidly expanding",Big Bang,item
WikiItems/Q326,Q326,_gBP4BIm---,"given name,award received,position held,place of birth,signature,GND identifier,member of political party,instance of",Chilean politician and former President,Eduardo Frei Ruiz-Tagle,item
WikiItems/Q327,Q327,_gBP4BIy---,"time zone,instance of,Wikivoyage banner",cultural region and former province of France,Brittany,item
WikiItems/Q328,Q328,_gBP4BI6---,"instance of,language,original language","English language edition of Wikipedia, the free encyclopedia",English Wikipedia,item
WikiItems/Q332,Q332,_gBP4BJG---,"programmer,GND identifier,instance of",eighth and farthest planet from the sun,Neptune,item
WikiItems/Q349,Q349,_gBP4BJO---,"Chinese Library Classification,GND identifier,Wikivoyage banner","forms of competitive activity, usually physical",sport,item
WikiItems/Q359,Q359,_gBP4BJW---,"instance of,GND identifier",international organization which publishes secret information,WikiLeaks,item
WikiItems/Q362,Q362,_gBP4BJe---,"has immediate cause,GND identifier,instance of,has cause",global war between 1939 and 1945,World War II,item
WikiItems/Q367,Q367,_gBP4BJq---,instance of,free resource library of books hosted by Wikimedia and edited by volunteers,Wikibooks,item
WikiItems/Q368,Q368,_gBP4BJy---,"place of birth,GND identifier,cause of death,instance of,position held,CANTIC,BNE identifier,NTA identifier (Netherlands),given name",former president of Chile,Augusto Pinochet,item
WikiItems/Q369,Q369,_gBP4BK----,"instance of,OmegaWiki Defined Meaning",free collection of quotes hosted by Wikimedia and edited by volunteers,Wikiquote,item
WikiItems/Q371,Q371,_gBP4BKK---,"MusicBrainz artist ID,instance of,GND identifier","dance-punk band from Sacramento, California",!!!,item
WikiItems/Q377,Q377,_gBP4BKS---,"place of birth,GND identifier,father,instance of,award received,given name",Belarusian poet and writer,Yanka Kupala,item
WikiItems/Q391,Q391,_gBP4BKe---,"instance of,is in the administrative territorial entity","the primary commercial artery of downtown Montreal, Canada",Saint Catherine Street,item
WikiItems/Q394,Q394,_gBP4BKm---,"GND identifier,instance of","scientific, practical and regulatory aspects of measurement",metrology,item
WikiItems/Q398,Q398,_gBP4BKy---,"instance of,capital,official language,flag,ISO 3166-1 alpha-3,head of state,Wikivoyage banner,GND identifier,dmoz,GeoNames ID",country in Asia,Bahrain,item
WikiItems/Q403,Q403,_gBP4BK6---,"capital,head of state,official language,instance of,ISO 3166-1 alpha-3,flag,Wikivoyage banner,dmoz,time zone,GND identifier",country in Southeastern Europe,Serbia,item
WikiItems/Q411,Q411,_gBP4BLG---,"GND identifier,instance of",study of the formation of life on Earth and elsewhere,astrobiology,item
WikiItems/Q412,Q412,_gBP4BLS---,instance of,"two plaques attached to the Pioneer 10 and Pioneer 11 spacecraft, in case extraterrestrial life finds it",Pioneer plaque,item
WikiItems/Q414,Q414,_gBP4BLa---,"dmoz,population,capital,instance of,flag,ISO 3166-1 alpha-3,GND identifier,official language,time zone,Wikivoyage banner,GeoNames ID",country in South America,Argentina,item
WikiItems/Q419,Q419,_gBP4BLi---,"capital,official language,ISO 3166-1 alpha-3,instance of,flag,head of state,time zone,Wikivoyage banner,dmoz,GeoNames ID",country in South America,Peru,item
WikiItems/Q424,Q424,_gBP4BLu---,"instance of,capital,head of state,official language,flag,ISO 3166-1 alpha-3,Wikivoyage banner,GND identifier,GeoNames ID",country in Southeast Asia,Cambodia,item
WikiItems/Q429,Q429,_gBP4BL6---,"instance of,is in the administrative territorial entity",Polish village in Lesser Poland Voivodeship,Pcim,item
WikiItems/Q431,Q431,_gBP4BMC---,,study of the animal kingdom,zoology,item
WikiItems/Q433,Q433,_gBP4BMO---,"type of administrative territorial entity,is in the administrative territorial entity,instance of",Polish rural gmina in Lublin Voivodeship,Gmina Kurów,item
WikiItems/Q436,Q436,_gBP4BMW---,"instance of,is in the administrative territorial entity",Polish city in Lublin Voivodeship,Szczebrzeszyn,item
WikiItems/Q443,Q443,_gBP4BMe---,instance of,speech by John F. Kennedy in West Berlin,Ich bin ein Berliner,item
WikiItems/Q447,Q447,_gBP4BMm---,"instance of,original language,GND identifier",general encyclopedia published in France between 1751 and 1772,Encyclopédie,item
WikiItems/Q454,Q454,_gBP4BMy---,"GND identifier,opposite of",state of harmony characterized by lack of violent conflict and freedom from fear of violence,peace,item
WikiItems/Q463,Q463,_gBP4BN----,"instance of,capital,type of administrative territorial entity,time zone,is in the administrative territorial entity,Wikivoyage banner,GND identifier,dmoz",one of the 27 regions of France,Rhône-Alpes,item
WikiItems/Q465,Q465,_gBP4BNG---,instance of,DBpedia is a project aiming to extract structured content from the information created as part of the Wikipedia project.,DBpedia,item
WikiItems/Q475,Q475,_gBP4BNK---,"position held,GND identifier,place of birth,member of political party,instance of,cause of death,given name",president of Chile,Eduardo Frei Montalva,item
WikiItems/Q481,Q481,_gBP4BNS---,instance of,top-level-domain for the use by pornographic websites,.xxx,item
WikiItems/Q494,Q494,_gBP4BNa---,"instance of,original network,original language,presenter",educational children's television show,Beakman's World,item
WikiItems/Q495,Q495,_gBP4BNm---,"is in the administrative territorial entity,type of administrative territorial entity,instance of,ISTAT ID,time zone,Wikivoyage banner,dmoz,GND identifier,population,category for people who died here","capital of the Piedmont, third largest city in Italy",Turin,item
WikiItems/Q497,Q497,_gBP4BNy---,"Terminologia Anatomica 98,instance of",opening at the opposite end of an animal's digestive tract from its mouth,anus,item
WikiItems/Q500,Q500,_gBP4BN6---,"instance of,GND identifier,taxon name,taxon rank,Encyclopedia of Life ID",yellow citrus fruit,lemon,item
WikiItems/Q501,Q501,_gBP4BOG---,"given name,place of burial,place of birth,GND identifier,MusicBrainz artist ID,instance of,NTA identifier (Netherlands),NLA identifier,BNE identifier,signature,CANTIC,cause of death,EGAXA identifier",French poet,Charles Baudelaire,item
WikiItems/Q506,Q506,_gBP4BOO---,GND identifier,structure found in some plants (division Magnoliophyta / angiosperms) to support reproduction,flower,item
WikiItems/Q511,Q511,_gBP4BOS---,"is in the administrative territorial entity,instance of,GND identifier,CANTIC,heritage status","art museum in Lyon, France",Museum of Fine Arts of Lyon,item
WikiItems/Q514,Q514,_gBP4BOe---,GND identifier,branch of biology and medicine that considers the structure of living things,anatomy,item
WikiItems/Q524,Q524,_gBP4BOm---,"instance of,GND identifier,Wikivoyage banner","stratovolcano in the Gulf of Naples, Italy",Mount Vesuvius,item
WikiItems/Q530,Q530,_gBP4BOy---,"MusicBrainz artist ID,instance of,place of birth",Swedish alpine skier,Ingemar Stenmark,item
WikiItems/Q538,Q538,_gBP4BO6---,"GeoNames ID,time zone,Wikivoyage banner,dmoz,instance of,population",continent or geographical region in and near the Pacific Ocean,Oceania,item
WikiItems/Q544,Q544,_gBP4BPC---,"GND identifier,instance of",planetary system of the Sun,Solar System,item
WikiItems/Q545,Q545,_gBP4BPG---,"instance of,GND identifier,Wikivoyage banner","the Northern European sea bounded by the Scandinavian Peninsula, the mainland of Europe, and the Danish islands",Baltic Sea,item
WikiItems/Q550,Q550,_gBP4BPS---,"is in the administrative territorial entity,instance of","avenue in Paris, France",avenue des Champs-Élysées,item
WikiItems/Q555,Q555,_gBP4BPa---,"place of birth,GND identifier,instance of,given name",American journalist,Rachel Maddow,item
WikiItems/Q556,Q556,_gBP4BPi---,"instance of,OmegaWiki Defined Meaning,element symbol,GND identifier",chemical element with symbol H and atomic number 1,hydrogen,item
WikiItems/Q565,Q565,_gBP4BPq---,instance of,"online repository of free-use images, sound and other media files, part of the Wikimedia Foundation",Wikimedia Commons,item
WikiItems/Q570,Q570,_gBP4BP2---,GND identifier,transducer that converts electrical energy into sound energy,loudspeaker,item
WikiItems/Q571,Q571,_gBP4BQ----,GND identifier,"medium for a collection of words and/or pictures to represent knowledge, often manifested in bound paper and ink, or in e-books",book,item
WikiItems/Q584,Q584,_gBP4BQK---,"instance of,is in the administrative territorial entity,GND identifier,Wikivoyage banner,HDS",river in Western Europe,Rhine,item
WikiItems/Q585,Q585,_gBP4BQS---,"instance of,time zone,type of administrative territorial entity,is in the administrative territorial entity,Wikivoyage banner,GND identifier,dmoz,population,category for people who died here",capital city and county in Norway,Oslo,item
WikiItems/Q586,Q586,_gBP4BQa---,"is in the administrative territorial entity,time zone,instance of,Wikivoyage banner,dmoz,GND identifier,HDS,type of administrative territorial entity,category for people who died here","city in Germany, former capital",Bonn,item
WikiItems/Q587,Q587,_gBP4BQq---,"instance of,GND identifier",a solemnity (1 November in Western Christianity),All Saints,item
WikiItems/Q592,Q592,_gBP4BQy---,"instance of,OmegaWiki Defined Meaning",term that primarily refers to a homosexual person lamar bowden,gay,item
WikiItems/Q595,Q595,_gBP4BQ6---,"instance of,original language,MusicBrainz release group ID,GND identifier,title (string)",2011 French film directed by Olivier Nakache and Éric Toledano,The Intouchables,item
WikiItems/Q597,Q597,_gBP4BRC---,"instance of,flag,GND identifier,type of administrative territorial entity,is in the administrative territorial entity,Wikivoyage banner,dmoz,time zone,category for people who died here",capital city of Portugal,Lisbon,item
WikiItems/Q604,Q604,_gBP4BRK---,"discovery date,instance of",dwarf planet in the Solar System,Makemake,item
WikiItems/Q606,Q606,_gBP4BRS---,"taxon rank,instance of,taxon name,Encyclopedia of Life ID",non-venomous dwarf boa species,Exiliboa placata,item
WikiItems/Q610,Q610,_gBP4BRe---,"instance of,is in the administrative territorial entity,Wikivoyage banner",island off the west coast of Scotland,Iona,item
WikiItems/Q616,Q616,_gBP4BRq---,,wine from the Beaujolais AOC of France,Beaujolais wine,item
WikiItems/Q619,Q619,_gBP4BRy---,"signature,GND identifier,instance of,place of birth,BNE identifier,NLA identifier,NTA identifier (Netherlands),programmer,CANTIC,given name","Renaissance mathematician, astronomer, physician and canon",Nicolaus Copernicus,item
WikiItems/Q633,Q633,_gBP4BS----,"given name,father,MusicBrainz artist ID,GND identifier,instance of,place of birth,award received",Canadian singer-songwriter,Neil Young,item
WikiItems/Q634,Q634,_gBP4BSG---,GND identifier,celestial body orbiting a star or stellar remnant,planet,item
WikiItems/Q635,Q635,_gBP4BSO---,"father,GND identifier,cause of death,noble family,instance of,follows,place of birth,given name",last pharaoh of  Ancient Egypt,Cleopatra,item
WikiItems/Q643,Q643,_gBP4BSW---,"instance of,is in the administrative territorial entity",Italian river,Po,item
WikiItems/Q647,Q647,_gBP4BSe---,"GND identifier,is in the administrative territorial entity,type of administrative territorial entity,Wikivoyage banner,instance of,dmoz,list of monuments,heritage status","commune in Ille-et-Vilaine, France",Rennes,item
WikiItems/Q648,Q648,_gBP4BSq---,"category for people who died here,type of administrative territorial entity,is in the administrative territorial entity,time zone,instance of,award received,Wikivoyage banner,dmoz,GND identifier","commune in Nord, France",Lille,item
